country,location_name,latitude,longitude,temperature_celsius,precip_mm,humidity,air_quality_PM2.5
Japan,Tokyo,35.69,139.69,25.177272727272726,0.015000000000000001,79.18181818181819,25.373409090909092
Jemen,Sanaa,15.35,44.21,26.1,0.05,34.0,25.0
Jordan,Amman,31.95,35.93,30.880000000000003,0.0,31.85,14.971
Jordan,Amman,31.95,35.9333,19.176190476190477,0.003333333333333333,44.72108843537415,22.679285714285715
Kazakhstan,Astana,51.18,71.43,19.50357142857143,0.013928571428571429,54.357142857142854,3.8137499999999998
Kazakhstan,Astana,51.1811,71.4278,8.706422018348626,0.008532110091743119,62.69724770642202,13.294266055045872
Kenya,Nairobi,-1.2833,36.8167,20.599999999999998,0.014754098360655738,64.6639344262295,20.775901639344262
Kenya,Nairobi,-1.28,36.82,22.379166666666666,0.025000000000000005,54.333333333333336,19.16625
Kiribati,Tarawa,-0.8833,169.5333,27.973913043478262,0.016782608695652176,74.34782608695652,10.947652173913044
Kiribati,Tarawa,-0.88,169.53,28.563636363636363,0.024090909090909093,74.31818181818181,5.3825
Kuwait,Kuwait City,29.3667,47.96,28.525,0.0017187500000000002,28.4140625,55.90796875000001
Kuwait,Kuwait City,29.37,47.96,42.40882352941176,0.0,16.11764705882353,32.40367647058824
Kyrghyzstan,Bishkek,42.87,74.6,24.660714285714285,0.021428571428571432,41.642857142857146,5.591785714285714
Kyrghyzstan,Bishkek,42.8731,74.6003,14.947747747747748,0.012792792792792794,48.91891891891892,22.285000001718334
Latvia,Riga,56.95,24.1,10.467808219178082,0.012945205479452056,75.22602739726027,13.574863014351832
Lebanon,Beirut,33.87,35.51,28.926470588235293,0.0023529411764705885,62.88235294117647,18.31720588235294
Lebanon,Beirut,33.8719,35.5097,21.832824427480915,0.010763358778625956,60.13740458015267,31.378320607775038
Lesotho,Maseru,-29.32,27.48,18.844444444444445,0.0030555555555555557,25.88888888888889,10.873194444444444
Lesotho,Maseru,-29.3167,27.4833,19.34198473282443,0.00801526717557252,49.76335877862596,20.618015267175572
Letonia,Riga,56.95,24.1,20.6,0.05,94.0,2.5
Liberia,Monrovia,6.31,-10.8,27.659259259259258,0.04333333333333334,81.66666666666667,2.713888888888889
Liberia,Monrovia,6.3106,-10.8047,25.56640625,0.027421875000000002,89.8359375,21.59734375
Libya,Tripoli,32.89,13.18,27.0,0.0,74.0,38.8
Libya,Tripoli,32.8925,13.18,25.7,0.0,55.0,12.8
Liechtenstein,Vaduz,47.13,9.52,19.918518518518518,0.02592592592592593,62.74074074074074,3.2301851851851855
Liechtenstein,Vaduz,47.1333,9.5167,8.215267175572519,0.013358778625954198,85.20610687022901,8.475992366412214
Lithuania,Vilnius,54.68,25.32,22.69333333333333,0.014000000000000002,54.6,4.3068333333333335
Lithuania,Vilnius,54.6833,25.3167,7.0434426229508205,0.011147540983606558,78.15573770491804,12.784303279861076
Luxembourg,Luxembourg,49.61,6.13,18.773333333333333,0.03066666666666667,65.96666666666667,4.9141666666666675
Luxembourg,Luxembourg,49.6117,6.13,8.562385321100917,0.012110091743119267,81.60550458715596,15.850183486238533
Macedonia,Skopje,42.0,21.43,29.788,0.016800000000000002,40.56,8.4718
Macedonia,Skopje,42.0,21.4333,12.572033898305085,0.007627118644067797,68.23728813559322,26.947372881355932
Madagascar,Antananarivo,-18.92,47.52,23.29642857142857,0.002142857142857143,44.607142857142854,7.5633928571428575
Madagascar,Antananarivo,-18.9167,47.5167,23.795348837209303,0.008914728682170544,55.96124031007752,7.462751937984496
Madagascar,Ivory,-24.37,46.45,26.846666666666668,0.0006666666666666666,34.63333333333333,2.771166666666667
Madagascar,Ivory,-24.3667,46.45,29.450819672131146,0.009344262295081968,40.49180327868852,7.354508196721311
Malawi,Lilongwe,-13.9833,33.7833,23.651908396946567,0.015648854961832062,61.64885496183206,10.879007633587786
Malawi,Lilongwe,-13.98,33.78,24.846153846153847,0.0019230769230769232,35.80769230769231,6.9653846153846155
Malaysia,Kuala Lumpur,3.1667,101.7,31.400793650793652,0.03920634920634921,65.08730158730158,40.93230158730159
Malaysia,Kuala Lumpur,3.17,101.7,28.573076923076922,0.021153846153846155,78.84615384615384,47.211730769230776
Maldives,Dhidhdhoo,6.88,73.1,28.158823529411762,0.029411764705882353,77.70588235294117,5.4929411764705875
Maldives,Dhidhdhoo,6.8833,73.1,27.872340425531913,0.020354609929078015,74.48936170212765,13.322710495820283
Maldives,Felidhoo,3.48,73.53,28.74,0.026000000000000002,81.2,2.0
Maldives,Male,4.1667,73.5,28.3,0.05,80.0,2.8
Maldives,Male,4.17,73.5,28.8,0.02,81.0,1.5
Mali,Bamako,12.65,-8.0,26.489403973509933,0.004834437086092716,56.64238410596027,26.437384105960266
Malta,Valletta,35.8997,14.5147,19.360902255639097,0.010375939849624061,70.67669172932331,11.068082706766917
Malta,Valletta,35.9,14.51,28.816129032258065,0.0012903225806451613,59.483870967741936,27.583870967741937
Marshall Islands,Majuro,7.1,171.38,28.46206896551724,0.032758620689655175,80.13793103448276,2.2044827586206894
Marshall Islands,Majuro,7.1,171.3833,28.13125,0.028333333333333335,81.38194444444444,7.665590277777778
